Country,State,City,Organization,lastupdate,Avg,Max,Min,Pollutant_Name,Predominant_Parameter,AQI_Value
India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",14-09-2021 10:00,15,48,7,CO,SO2,88
India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",14-09-2021 10:00,14,29,12,OZONE,SO2,88
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,NA,NA,NA,PM10,,
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,5,5,5,NO2,,
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,2,3,1,NH3,,
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,35,36,33,SO2,,
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,26,38,15,CO,,
India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",14-09-2021 10:00,17,26,10,OZONE,,
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",14-09-2021 10:00,25,47,2,PM2.5,CO,63
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",14-09-2021 10:00,6,6,5,NO2,CO,63
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",14-09-2021 10:00,16,18,10,SO2,CO,63
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",14-09-2021 10:00,63,69,54,CO,CO,63
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",14-09-2021 10:00,55,67,42,OZONE,CO,63
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,NA,NA,NA,PM2.5,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,19,25,7,PM10,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,10,15,6,NO2,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,4,5,3,NH3,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,4,6,1,SO2,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,65,68,50,CO,CO,65
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-09-2021 10:00,4,122,1,OZONE,CO,65
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,NA,NA,NA,PM2.5,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,NA,NA,NA,PM10,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,32,34,31,NO2,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,4,5,4,NH3,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,10,12,8,SO2,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,46,50,18,CO,,
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",14-09-2021 10:00,47,69,44,OZONE,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,NA,NA,NA,PM2.5,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,NA,NA,NA,PM10,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,25,104,9,NO2,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,4,6,2,NH3,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,8,9,6,SO2,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,24,113,20,CO,,
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-09-2021 10:00,12,27,2,OZONE,,
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-09-2021 10:00,56,342,15,PM2.5,PM2.5,56
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-09-2021 10:00,3,12,2,NO2,PM2.5,56
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-09-2021 10:00,7,12,2,SO2,PM2.5,56
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-09-2021 10:00,38,70,10,CO,PM2.5,56
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-09-2021 10:00,13,15,9,OZONE,PM2.5,56
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,30,40,27,PM2.5,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,62,70,54,PM10,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,16,40,7,NO2,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,2,2,1,NH3,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,4,4,4,SO2,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,57,59,44,CO,PM10,62
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-09-2021 10:00,37,57,33,OZONE,PM10,62
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,34,45,28,PM2.5,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,45,64,29,PM10,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,13,17,9,NO2,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,2,3,1,NH3,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,14,53,2,SO2,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,14,28,2,CO,PM10,45
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-09-2021 10:00,36,79,2,OZONE,PM10,45
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,16,30,6,PM2.5,CO,47
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,37,53,25,PM10,CO,47
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,24,33,18,NO2,CO,47
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-09-2021 10:00,1,1,1,NH3,CO,47
